source_name,region,city,category,ownership,registration_type,annual_visitors,collection_count,exhibition_area_sqm,official_scale_score,data_confidence,source_reference_date,source_sheet,source_row,source_url
성신여자대학교박물관,서울,성북구,박물관,대학,1종,1876,3700,1303.0,38.8,1.0,2025-01-01,박물관,140,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
해든뮤지움,인천,강화군,미술관,사립,1종,12000,100,1066.0,38.8,1.0,2025-01-01,미술관,95,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
상명대학교박물관,서울,종로구,박물관,대학,1종,2231,3645,1024.0,38.7,1.0,2025-01-01,박물관,134,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
우리옛돌박물관,서울,성북구,박물관,사립,1종,9345,189,996.0,38.3,1.0,2025-01-01,박물관,89,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
한과문화박물관,경기,포천시,박물관,사립,1종,10000,390,400.3,38.2,1.0,2025-01-01,박물관,427,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
떡박물관,서울,종로구,박물관,사립,1종,3571,3155,461.96,38.2,1.0,2025-01-01,박물관,65,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
한신대학교 박물관,경기,오산시,박물관,대학,1종,2350,9107,177.0,37.4,1.0,2025-01-01,박물관,453,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
용주사효행박물관(휴관),경기,화성시,박물관,사립,1종,13208,300,189.0,37.3,1.0,2025-01-01,박물관,409,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
수도국산달동네박물관(휴관),인천,동구,박물관,공립,1종,0,11593,1506.67,37.3,1.0,2025-01-01,박물관,228,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
조병화문학관,경기,안성시,박물관,사립,1종,2755,12000,103.0,37.1,1.0,2025-01-01,박물관,416,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
경희대학교 혜정박물관,경기,용인시,박물관,대학,1종,721,8546,1252.4,36.6,1.0,2025-01-01,박물관,443,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
영인문학관,서울,종로구,박물관,사립,1종,1668,30300,194.1,35.9,1.0,2025-01-01,박물관,88,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
뮤지엄한미삼청,서울,종로구,미술관,사립,1종,10347,100,624.2,35.5,1.0,2025-01-01,미술관,56,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
여성생활사박물관,경기,여주시,박물관,사립,1종,1806,4710,818.0,35.4,1.0,2025-01-01,박물관,402,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
삼성출판박물관,서울,종로구,박물관,사립,1종,1079,100000,262.0,35.1,1.0,2025-01-01,박물관,79,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
대한불교조계종봉녕사 세주묘엄박물관,경기,수원시,박물관,사립,1종,2974,2417,374.94,35.0,1.0,2025-01-01,박물관,381,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
왈츠와 닥터만 커피박물관,경기,남양주시,박물관,사립,1종,3300,2378,280.0,35.0,1.0,2025-01-01,박물관,407,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
유금와당박물관,서울,종로구,박물관,사립,1종,2260,8200,164.0,34.7,1.0,2025-01-01,박물관,92,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
청강만화역사박물관,경기,이천시,박물관,대학,1종,1866,2686,524.0,34.4,1.0,2025-01-01,박물관,451,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
탄허기념불교박물관,서울,강남구,박물관,사립,1종,2886,2886,290.93,34.4,1.0,2025-01-01,박물관,103,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
세종대학교 박물관(휴관),서울,광진구,박물관,대학,1종,0,5163,3968.0,34.1,1.0,2025-01-01,박물관,143,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
파주나비나라박물관,경기,파주시,박물관,사립,1종,4783,628,293.0,33.8,1.0,2025-01-01,박물관,424,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
한무숙문학관,서울,종로구,박물관,사립,1종,2500,3346,295.0,33.7,1.0,2025-01-01,박물관,114,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
소다미술관,경기,화성시,미술관,사립,1종,8348,106,499.0,33.4,1.0,2025-01-01,미술관,166,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
마가미술관,경기,용인시,미술관,사립,1종,5000,442,340.0,33.3,1.0,2025-01-01,미술관,156,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
근현대사미술관담다,경기,용인시,미술관,사립,1종,6600,150,467.0,32.8,1.0,2025-01-01,미술관,153,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
OCI미술관,서울,종로구,미술관,사립,1종,4363,100,1571.28,32.8,1.0,2025-01-01,미술관,24,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
양평아프리카문화예술박물관,경기,양평군,박물관,사립,2종,16950,97,177.0,32.2,1.0,2025-01-01,박물관,401,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
샬트르 성바오로수녀회 역사박물관,서울,중구,박물관,사립,1종,2458,2755,227.0,32.1,1.0,2025-01-01,박물관,80,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
서호미술관,경기,남양주시,미술관,사립,1종,5054,251,362.88,32.0,1.0,2025-01-01,미술관,163,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
을지대학교 범석의학박물관,경기,성남시,박물관,대학,1종,745,4545,643.5,32.0,1.0,2025-01-01,박물관,454,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
인천공항박물관,인천,중구,박물관,사립,2종,13599,102,244.2,32.0,1.0,2025-01-01,박물관,249,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
홍익대학교박물관,서울,마포구,박물관,대학,1종,1277,5240,243.0,31.9,1.0,2025-01-01,박물관,151,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
경인교육대학교 미술관 지누지움,인천,계양구,미술관,대학,1종,5795,133,249.0,31.8,1.0,2025-01-01,미술관,98,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
